,Address,Name,City State ZIP,ZIP,Number of Sites,Url,ZIP_str,FULL Address,latitude,longitude
399,"2571 South Illinois Avenue,",Cedar Lane Mobile Home Park,"Carbondale, IL",62903.0,100,https://www.mhvillage.com/parks/10606,62903.0,"2571 South Illinois Avenue,Carbondale, IL62903.0",,
400,"26 Ivanhoe Drive,","Ivanhoe Estates MHC, LLC","Urbana, IL",61802.0,336,https://www.mhvillage.com/parks/10253,61802.0,"26 Ivanhoe Drive,Urbana, IL61802.0",,
401,"2602 Brownfield Rd,",Arleen Trailer Park,"Urbana, IL",61802.0,Not found,https://www.mhvillage.com/parks/57660,61802.0,"2602 Brownfield Rd,Urbana, IL61802.0",,
402,"2608 Brownfield Rd,",Powells Mobile Home Park,"Urbana, IL",61802.0,26,https://www.mhvillage.com/parks/57654,61802.0,"2608 Brownfield Rd,Urbana, IL61802.0",,
403,"26222 West Oak Avenue,",Dolphin Harbor,"Antioch, IL",60002.0,Not found,https://www.mhvillage.com/parks/10786,60002.0,"26222 West Oak Avenue,Antioch, IL60002.0",,
404,"2624 Ingersoll Ln,",Kay-Lou MHC,"Marion, IL",62959.0,96,https://www.mhvillage.com/parks/11606,62959.0,"2624 Ingersoll Ln,Marion, IL62959.0",,
405,"26250 W Heart O Lakes Blvd,",Grass Lake Marina & RV Park,"Antioch, IL",60002.0,123,https://www.mhvillage.com/parks/126558,60002.0,"26250 W Heart O Lakes Blvd,Antioch, IL60002.0",,
406,"26265 N. Il Route 83,",Diamond Lake Mobile Home Park,"Mundelein, IL",60060.0,63,https://www.mhvillage.com/parks/10805,60060.0,"26265 N. Il Route 83,Mundelein, IL60060.0",,
407,"2630 Batestown Rd,",Lawndale Mh Park,"Oakwood, IL",61858.0,Not found,https://www.mhvillage.com/parks/57774,61858.0,"2630 Batestown Rd,Oakwood, IL61858.0",,
408,"2630 Spring Creek Rd,",Park Meadowlands West Mhc,"Belvidere, IL",61008.0,Not found,https://www.mhvillage.com/parks/58082,61008.0,"2630 Spring Creek Rd,Belvidere, IL61008.0",,
409,"26312 North State Route 83,",Paul's Mobile Home Park,"Mundelein, IL",60060.0,18,https://www.mhvillage.com/parks/10806,60060.0,"26312 North State Route 83,Mundelein, IL60060.0",,
410,"27 Leisureland,",Leisureland Pleasure Park,"Niota, IL",62358.0,Not found,https://www.mhvillage.com/parks/57781,62358.0,"27 Leisureland,Niota, IL62358.0",,
411,"2705 Saint Vincents Avenue,",Blossom Mobile Home Park,"La Salle, IL",61301.0,60,https://www.mhvillage.com/parks/10742,61301.0,"2705 Saint Vincents Avenue,La Salle, IL61301.0",,
412,"2716 West Delmar Ave.,",Oak Grove,"Godfrey, IL",62035.0,73,https://www.mhvillage.com/parks/10962,62035.0,"2716 West Delmar Ave.,Godfrey, IL62035.0",,
413,"2735 South 14th Street,",Woodside Mobile Home Community,"Springfield, IL",62703.0,Not found,https://www.mhvillage.com/parks/11256,62703.0,"2735 South 14th Street,Springfield, IL62703.0",,
414,"27644 N 1700 E Rd,",Sunny Oak Mobile Home Park,"Bismarck, IL",61814.0,36,https://www.mhvillage.com/parks/11456,61814.0,"27644 N 1700 E Rd,Bismarck, IL61814.0",,
415,"27668 Timberli Rd,",Timberli Lake Estates,"Girard, IL",62640.0,60,https://www.mhvillage.com/parks/11664,62640.0,"27668 Timberli Rd,Girard, IL62640.0",,
416,"2776 East 2625th Road,",Whispering Pines Campground,"Marseilles, IL",61341.0,Not found,https://www.mhvillage.com/parks/10744,61341.0,"2776 East 2625th Road,Marseilles, IL61341.0",,
417,"27W370 Geneva Road,",Pleasant Ridge,"West Chicago, IL",60185.0,148,https://www.mhvillage.com/parks/10476,60185.0,"27W370 Geneva Road,West Chicago, IL60185.0",,
418,"2800 Broadway Street,",Broadway Estates,"Blue Island, IL",60406.0,Not found,https://www.mhvillage.com/parks/10345,60406.0,"2800 Broadway Street,Blue Island, IL60406.0",,
419,"2800 Calvin Boulevard,",Lazy Acres Mobile Home Park,"East Saint Louis, IL",62206.0,Not found,https://www.mhvillage.com/parks/11370,62206.0,"2800 Calvin Boulevard,East Saint Louis, IL62206.0",,
420,"2800 Ridge Avenue,",Ridge Village Mobile Home Park,"Springfield, IL",62702.0,52,https://www.mhvillage.com/parks/11281,62702.0,"2800 Ridge Avenue,Springfield, IL62702.0",,
421,"2800 Via Rosso,",Timber Creek Living,"Springfield, IL",62703.0,200,https://www.mhvillage.com/parks/68948,62703.0,"2800 Via Rosso,Springfield, IL62703.0",,
422,"2804 State Route 37,",Country School Mobile Village,"Salem, IL",62881.0,Not found,https://www.mhvillage.com/parks/57712,62881.0,"2804 State Route 37,Salem, IL62881.0",,
423,"2805 South Belt West,",Sutter's Mobile Home Park,"Belleville, IL",62223.0,Not found,https://www.mhvillage.com/parks/11333,62223.0,"2805 South Belt West,Belleville, IL62223.0",,
424,"2820 Calvin Boulevard,",Colonial,"East Saint Louis, IL",62206.0,Not found,https://www.mhvillage.com/parks/11364,62206.0,"2820 Calvin Boulevard,East Saint Louis, IL62206.0",,
425,"2826 E 138th Place,",OK Trailer Park,"Chicago, IL",60633.0,Not found,https://www.mhvillage.com/parks/10358,60633.0,"2826 E 138th Place,Chicago, IL60633.0",,
426,"2836 East Lincoln Highway,",Linway Estates,"Chicago Heights, IL",60411.0,300,https://www.mhvillage.com/parks/10362,60411.0,"2836 East Lincoln Highway,Chicago Heights, IL60411.0",,
427,"2839 Camp Jackson Road,",Thunderbird Court,"East Saint Louis, IL",62206.0,Not found,https://www.mhvillage.com/parks/11380,62206.0,"2839 Camp Jackson Road,East Saint Louis, IL62206.0",,
428,"290 Warren Rd,",University Heights,"Carbondale, IL",62901.0,96,https://www.mhvillage.com/parks/58042,62901.0,"290 Warren Rd,Carbondale, IL62901.0",,
429,"2900 Camp Jackson Rd,",Patricia Village,"Cahokia, IL",62206.0,Not found,https://www.mhvillage.com/parks/58062,62206.0,"2900 Camp Jackson Rd,Cahokia, IL62206.0",,
430,"2900 Sand Road,",Stone Meadows Mobile Home Park,"Edwardsville, IL",62025.0,284,https://www.mhvillage.com/parks/11696,62025.0,"2900 Sand Road,Edwardsville, IL62025.0",,
431,"2900 W Farmington Rd,",Wandering Springs,"West Peoria, IL",61604.0,98,https://www.mhvillage.com/parks/57627,61604.0,"2900 W Farmington Rd,West Peoria, IL61604.0",,
432,"291 Il Rt. 2,",Rock River Estates,"Dixon, IL",61021.0,200,https://www.mhvillage.com/parks/10845,61021.0,"291 Il Rt. 2,Dixon, IL61021.0",,
433,"2919 S Belt West Suite C,",Varski Properties MHP #1,"Belleville, IL",62226.0,Not found,https://www.mhvillage.com/parks/107026,62226.0,"2919 S Belt West Suite C,Belleville, IL62226.0",,
434,"2993 Curtis Street,",Buckhorn Estates,"Des Plaines, IL",60018.0,143,https://www.mhvillage.com/parks/10367,60018.0,"2993 Curtis Street,Des Plaines, IL60018.0",,
435,"3 Shawn Drive,",Shawn Mobile Home Park,"Swansea, IL",62226.0,Not found,https://www.mhvillage.com/parks/11331,62226.0,"3 Shawn Drive,Swansea, IL62226.0",,
436,"300 East Olive Street,",Starlight Mobile Home Village,"Salem, IL",62881.0,Not found,https://www.mhvillage.com/parks/11005,62881.0,"300 East Olive Street,Salem, IL62881.0",,
437,"300 East Spencer Street,",Creek Ridge,"Dwight, IL",60420.0,97,https://www.mhvillage.com/parks/10851,60420.0,"300 East Spencer Street,Dwight, IL60420.0",,
438,"300 Forrest Avenue,",Forrest Park,"Springfield, IL",62707.0,160,https://www.mhvillage.com/parks/127228,62707.0,"300 Forrest Avenue,Springfield, IL62707.0",,
439,"300 N Daley St,",Burt Estates,"Diamond, IL",60416.0,Not found,https://www.mhvillage.com/parks/10550,60416.0,"300 N Daley St,Diamond, IL60416.0",,
440,"300 N Daley Street,",Burt Estates,"Diamond, IL",60416.0,242,https://www.mhvillage.com/parks/10549,60416.0,"300 N Daley Street,Diamond, IL60416.0",,
441,"300 South Independence Street,",Mascoutah Acres,"Mascoutah, IL",62258.0,Not found,https://www.mhvillage.com/parks/11404,62258.0,"300 South Independence Street,Mascoutah, IL62258.0",,
442,"300 South Somonauk Road,",Cortland,"Dekalb, IL",60115.0,81,https://www.mhvillage.com/parks/10437,60115.0,"300 South Somonauk Road,Dekalb, IL60115.0",,
443,"300 Spelter Avenue,",Danville Mobile Home Park,"Danville, IL",61832.0,90,https://www.mhvillage.com/parks/11473,61832.0,"300 Spelter Avenue,Danville, IL61832.0",,
444,"300 West Bluff Street,",Bluff Street Mobile Home Manor,"East Peoria, IL",61611.0,Not found,https://www.mhvillage.com/parks/11436,61611.0,"300 West Bluff Street,East Peoria, IL61611.0",,
445,"300 West Mill Street,",Marissa Mobile Estates,"Marissa, IL",62257.0,37,https://www.mhvillage.com/parks/11396,62257.0,"300 West Mill Street,Marissa, IL62257.0",,
446,"3000 S 11th St,",Barco Mh Park,"Springfield, IL",62703.0,Not found,https://www.mhvillage.com/parks/57697,62703.0,"3000 S 11th St,Springfield, IL62703.0",,
447,"3000 S 12th St,",C & C Trailer Park,"Springfield, IL",62703.0,Not found,https://www.mhvillage.com/parks/57696,62703.0,"3000 S 12th St,Springfield, IL62703.0",,
